Запуск,Время выполнения (с),Оценка π
898,0.002298,3.14548
899,0.002004,3.14548
900,0.001942,3.14548
901,0.002158,3.14548
902,0.003011,3.14548
903,0.001738,3.14548
904,0.002436,3.14548
905,0.002698,3.14548
906,0.002169,3.14548
907,0.002328,3.14548
908,0.001824,3.14548
909,0.002155,3.14548
910,0.002576,3.14548
911,0.001769,3.14548
912,0.002782,3.14548
913,0.001428,3.14548
914,0.001897,3.14548
915,0.002642,3.14548
916,0.002473,3.14548
917,0.001947,3.14548
918,0.001813,3.14548
919,0.002125,3.14548
920,0.002012,3.14548
921,0.001583,3.14548
922,0.002564,3.14548
923,0.002389,3.14548
924,0.002859,3.14548
925,0.002015,3.14548
926,0.001786,3.14548
927,0.002552,3.14548
928,0.002301,3.14548
929,0.002507,3.14548
930,0.001808,3.14548
931,0.002164,3.14548
932,0.002457,3.14548
933,0.001887,3.14548
934,0.001995,3.14548
935,0.001763,3.14548
936,0.002614,3.14548
937,0.002138,3.14548
938,0.002313,3.14548
939,0.001914,3.14548
940,0.002174,3.14548
941,0.002284,3.14548
942,0.002103,3.14548
943,0.001781,3.14548
944,0.001799,3.14548
945,0.001693,3.14548
946,0.001802,3.14548
947,0.001784,3.14548
948,0.002191,3.14548
949,0.001789,3.14548
950,0.002446,3.14548
951,0.001768,3.14548
952,0.001789,3.14548
953,0.002083,3.14548
954,0.002233,3.14548
955,0.001999,3.14548
956,0.001919,3.14548
957,0.001953,3.14548
958,0.002016,3.14548
959,0.001804,3.14548
960,0.001914,3.14548
961,0.001806,3.14548
962,0.001754,3.14548
963,0.002171,3.14548
964,0.001856,3.14548
965,0.002481,3.14548
966,0.002149,3.14548
967,0.002297,3.14548
968,0.003234,3.14548
969,0.001763,3.14548
970,0.001818,3.14548
971,0.001876,3.14548
972,0.002047,3.14548
973,0.002413,3.14548
974,0.002527,3.14548
975,0.001899,3.14548
976,0.001883,3.14548
977,0.001985,3.14548
978,0.001976,3.14548
979,0.002161,3.14548
980,0.004441,3.14548
981,0.002446,3.14548
982,0.0021,3.14548
983,0.002208,3.14548
984,0.002592,3.14548
985,0.00208,3.14548
986,0.002355,3.14548
987,0.002088,3.14548
988,0.002089,3.14548
989,0.002005,3.14548
990,0.001389,3.14548
991,0.001845,3.14548
992,0.002495,3.14548
993,0.001784,3.14548
994,0.002195,3.14548
995,0.001785,3.14548
996,0.001552,3.14548
997,0.001581,3.14548
998,0.001603,3.14548
999,0.001723,3.14548
1000,0.002031,3.14548
